Year Month,Postal Code,Customer Class,Total Gallons
201508,78731,Irrigation - Multi-Family,"1,143,900"
201309,78727,Irrigation - Residential,"26,100"
201408,78730,Irrigation - Residential,"223,500"
201408,78749,Irrigation - Residential,"25,600"
201207,78719,Multi-Family,"598,600"
201510,78702,Irrigation - Multi-Family,"1,407,400"
201212,78721,Irrigation - Residential,"1,900"
201711,78722,Irrigation - Residential,0
201402,78701,Residential,"897,500"
201404,78749,Irrigation - Multi-Family,"3,566,100"
201306,78726,Multi-Family,"11,972,600"
201311,78727,Irrigation - Multi-Family,"2,740,500"
201503,78613,Multi-Family,"979,900"
201201,78753,Irrigation - Residential,0
201607,78751,Irrigation - Residential,"85,500"
201712,78717,Irrigation - Multi-Family,"2,597,900"
201207,78725,Multi-Family,"311,700"
201208,78705,Multi-Family,"29,608,900"
201307,78726,Irrigation - Residential,"102,800"
201702,78735,Multi-Family,"8,778,700"
201608,78751,Irrigation - Residential,"151,200"
201605,78750,Multi-Family,"12,868,300"
201408,78730,Residential,"21,171,500"
201807,78729,Multi-Family,"26,143,200"
201208,78754,Irrigation - Multi-Family,"3,788,900"
201405,78732,Residential,"10,200"
201411,78751,Irrigation - Residential,"94,300"
201205,78748,Multi-Family,"15,304,700"
201510,78721,Irrigation - Residential,"12,600"
201507,78735,Irrigation - Multi-Family,"1,498,600"
201302,78723,Multi-Family,"20,400,000"
201602,78754,Residential,"19,601,200"
201209,78759,Irrigation - Multi-Family,"3,393,200"
201206,78704,Multi-Family,"50,197,800"
201603,78749,Irrigation - Residential,"23,200"
201410,78717,Irrigation - Residential,"18,800"
201607,78744,Irrigation - Residential,"54,000"
201307,78652,Multi-Family,"20,000"
201201,78717,Irrigation - Multi-Family,"1,415,700"
201304,78653,Multi-Family,"79,600"
201601,78747,Irrigation - Multi-Family,"183,300"
201404,78702,Irrigation - Residential,"19,600"
201409,78617,Multi-Family,"5,025,000"
201301,78729,Irrigation - Residential,"12,600"
201612,78758,Residential,"34,794,700"
201602,78751,Residential,"13,324,300"
201301,78741,Irrigation - Multi-Family,"2,132,400"
201806,78756,Multi-Family,"5,504,600"
201210,78739,Residential,"58,175,800"
201511,78739,Residential,"55,749,600"
201804,78719,Residential,"1,386,500"
201511,78736,Irrigation - Residential,"16,800"
201212,78759,Irrigation - Residential,"118,000"
201304,78744,Multi-Family,"26,201,500"
201411,78748,Residential,"67,485,500"
201603,78724,Irrigation - Residential,"21,500"
201612,78717,Irrigation - Residential,"18,700"
201208,78756,Residential,"18,154,500"
201307,78724,Residential,"25,521,400"
201407,78751,Irrigation - Residential,"99,900"
201510,78746,Irrigation - Multi-Family,"1,914,800"
201412,78754,Multi-Family,"15,603,700"
201805,78724,Irrigation - Residential,"22,800"
201611,78742,Irrigation - Multi-Family,"142,700"
201202,78742,Residential,"615,900"
201406,78725,Multi-Family,"216,700"
201303,78727,Irrigation - Residential,"1,000"
201211,78744,Multi-Family,"26,410,900"
201606,78721,Multi-Family,"4,489,600"
201611,78748,Irrigation - Multi-Family,"7,157,300"
201410,78748,Irrigation - Multi-Family,"7,359,100"
201603,78653,Multi-Family,"71,800"
201212,78613,Irrigation - Multi-Family,"56,000"
201608,78749,Irrigation - Residential,"64,400"
201506,78717,Irrigation - Multi-Family,"4,947,000"
201512,78735,Multi-Family,"8,087,200"
201210,78759,Irrigation - Residential,"117,300"
201801,78744,Multi-Family,"32,107,100"
201405,78721,Residential,"14,494,100"
201602,78652,Multi-Family,"30,300"
201406,78721,Irrigation - Residential,"1,800"
201309,78724,Multi-Family,"13,127,900"
201410,78719,Multi-Family,"469,600"
201206,78753,Multi-Family,"53,878,600"
201405,78660,Multi-Family,"3,522,400"
201508,78757,Residential,"55,363,600"
201301,78660,Irrigation - Residential,"8,600"
201303,78722,Residential,"8,430,400"
201301,78731,Irrigation - Residential,"241,000"
201701,78754,Multi-Family,"18,945,200"
201211,78701,Residential,"1,322,400"
201502,78744,Residential,"40,655,000"
201308,78744,Residential,"61,006,600"
201807,78752,Residential,"11,858,100"
201606,78751,Irrigation - Multi-Family,"966,900"
201709,78742,Residential,"772,200"
201505,78727,Irrigation - Multi-Family,"2,454,800"
201404,78660,Irrigation - Residential,"11,400"
201606,78723,Irrigation - Residential,"7,200"
201607,78617,Irrigation - Residential,"6,800"
201209,78727,Irrigation - Multi-Family,"10,977,800"
201506,78704,Irrigation - Residential,"118,700"
201302,78704,Irrigation - Multi-Family,"972,800"
201303,78613,Irrigation - Multi-Family,"47,000"
201205,78723,Multi-Family,"19,932,400"
201202,78652,Irrigation - Residential,"42,200"
201803,78750,Residential,"36,747,900"
201807,78751,Irrigation - Residential,"129,200"
201202,78746,Irrigation - Residential,"181,000"
201404,78729,Irrigation - Multi-Family,"1,273,300"
201603,78701,Multi-Family,"14,203,500"
201503,78702,Residential,"23,135,300"
201801,78728,Multi-Family,"10,254,600"
201409,78723,Irrigation - Multi-Family,"309,100"
201801,78617,Residential,"20,112,900"
201405,78745,Irrigation - Multi-Family,"2,501,000"
201206,78738,Residential,"9,000"
201612,78705,Irrigation - Residential,"45,700"
201706,78754,Residential,"25,115,500"
201310,78704,Irrigation - Multi-Family,"3,461,900"
201607,78717,Irrigation - Residential,"78,600"
201610,78728,Multi-Family,"8,060,500"
201704,78739,Irrigation - Multi-Family,0
201207,78753,Irrigation - Residential,"2,600"
201206,78747,Irrigation - Multi-Family,"1,183,500"
201309,78757,Irrigation - Residential,"75,200"
201708,78727,Multi-Family,"23,829,800"
201808,78728,Irrigation - Multi-Family,"3,162,800"
201409,78727,Irrigation - Multi-Family,"8,113,000"
201307,78744,Irrigation - Residential,"2,600"
201607,78744,Irrigation - Multi-Family,"3,389,700"
201703,78723,Irrigation - Residential,"9,600"
201502,78736,Irrigation - Multi-Family,"48,200"
201207,78731,Irrigation - Residential,"842,400"
201308,78729,Multi-Family,"24,687,800"
201404,78721,Residential,"14,151,900"
201703,78704,Residential,"39,204,500"
201701,78744,Irrigation - Multi-Family,"1,772,300"
201803,78717,Residential,"26,224,600"
201210,78729,Irrigation - Multi-Family,"4,058,200"
201305,78756,Irrigation - Multi-Family,"151,900"
201701,78754,Residential,"21,329,300"
201401,78744,Irrigation - Multi-Family,"1,071,600"
201602,78731,Irrigation - Multi-Family,"190,400"
201506,78744,Irrigation - Residential,"26,000"
201603,78736,Irrigation - Multi-Family,"416,200"
201711,78723,Multi-Family,"21,244,000"
201204,78757,Irrigation - Residential,"59,400"
201505,78717,Irrigation - Residential,"24,100"
201202,78725,Multi-Family,"246,000"
201607,78735,Residential,"33,949,500"
201512,78759,Residential,"45,386,200"
201509,78617,Irrigation - Residential,"5,400"
201309,78758,Irrigation - Residential,"47,600"
201309,78721,Residential,"17,007,600"
201207,78751,Residential,"21,789,700"
201505,78722,Irrigation - Residential,0
201202,78745,Irrigation - Residential,"13,400"
201511,78703,Irrigation - Multi-Family,"722,800"
201411,78737,Irrigation - Residential,"8,600"
201402,78724,Irrigation - Residential,"12,500"
201201,78745,Residential,"75,270,300"
